LADcode,LAD_name,2020_0-64_SSP1,2020_65-74_SSP1,2020_75-84_SSP1,2020_85_SSP1,2030_0-64_SSP1,2030_65-74_SSP1,2030_75-84_SSP1,2030_85_SSP1,2050_0-64_SSP1,2050_65-74_SSP1,2050_75-84_SSP1,2050_85_SSP1,2080_0-64_SSP1,2080_65-74_SSP1,2080_75-84_SSP1,2080_85_SSP1,2100_0-64_SSP1,2100_65-74_SSP1,2100_75-84_SSP1,2100_85_SSP1,2020_0-64_SSP2,2020_65-74_SSP2,2020_75-84_SSP2,2020_85_SSP2,2030_0-64_SSP2,2030_65-74_SSP2,2030_75-84_SSP2,2030_85_SSP2,2050_0-64_SSP2,2050_65-74_SSP2,2050_75-84_SSP2,2050_85_SSP2,2080_0-64_SSP2,2080_65-74_SSP2,2080_75-84_SSP2,2080_85_SSP2,2100_0-64_SSP2,2100_65-74_SSP2,2100_75-84_SSP2,2100_85_SSP2,2020_0-64_SSP3,2020_65-74_SSP3,2020_75-84_SSP3,2020_85_SSP3,2030_0-64_SSP3,2030_65-74_SSP3,2030_75-84_SSP3,2030_85_SSP3,2050_0-64_SSP3,2050_65-74_SSP3,2050_75-84_SSP3,2050_85_SSP3,2080_0-64_SSP3,2080_65-74_SSP3,2080_75-84_SSP3,2080_85_SSP3,2100_0-64_SSP3,2100_65-74_SSP3,2100_75-84_SSP3,2100_85_SSP3,2020_0-64_SSP4,2020_65-74_SSP4,2020_75-84_SSP4,2020_85_SSP4,2030_0-64_SSP4,2030_65-74_SSP4,2030_75-84_SSP4,2030_85_SSP4,2050_0-64_SSP4,2050_65-74_SSP4,2050_75-84_SSP4,2050_85_SSP4,2080_0-64_SSP4,2080_65-74_SSP4,2080_75-84_SSP4,2080_85_SSP4,2100_0-64_SSP4,2100_65-74_SSP4,2100_75-84_SSP4,2100_85_SSP4,2020_0-64_SSP5,2020_65-74_SSP5,2020_75-84_SSP5,2020_85_SSP5,2030_0-64_SSP5,2030_65-74_SSP5,2030_75-84_SSP5,2030_85_SSP5,2050_0-64_SSP5,2050_65-74_SSP5,2050_75-84_SSP5,2050_85_SSP5,2080_0-64_SSP5,2080_65-74_SSP5,2080_75-84_SSP5,2080_85_SSP5,2100_0-64_SSP5,2100_65-74_SSP5,2100_75-84_SSP5,2100_85_SSP5
E06000005,Darlington,0.794603148,0.11042761,0.067760269,0.027208974,0.732652238,0.127221347,0.093354131,0.046772284,0.666709474,0.113848355,0.117237269,0.102204903,0.590238099,0.114496053,0.111931525,0.183334323,0.558744226,0.109595626,0.125922242,0.205737907,0.794603148,0.11042761,0.067760269,0.027208974,0.742551501,0.126244636,0.089891444,0.041312419,0.694723569,0.11394388,0.111393921,0.079938631,0.64118515,0.117536116,0.109074907,0.132203826,0.591901257,0.113926443,0.126312354,0.167859946,0.794603148,0.11042761,0.067760269,0.027208974,0.740335722,0.13110161,0.090457596,0.038105072,0.687384742,0.126275704,0.117483488,0.068856067,0.62411218,0.145506298,0.124449561,0.105931961,0.58406601,0.133780747,0.149271536,0.132881706,0.794603148,0.11042761,0.067760269,0.027208974,0.736212237,0.129353171,0.092104559,0.042330032,0.673202763,0.121938966,0.11926998,0.08558829,0.580249081,0.136424376,0.12843708,0.154889464,0.519524222,0.123439515,0.147757578,0.209278685,0.794603148,0.11042761,0.067760269,0.027208974,0.74436171,0.121782017,0.089198713,0.04465756,0.701542312,0.103320797,0.104520103,0.090616788,0.664219326,0.097228659,0.092868694,0.145683321,0.644016918,0.098444316,0.104232187,0.153306579
E06000001,Hartlepool,0.805707697,0.107641224,0.061176772,0.025474307,0.751322373,0.129975907,0.083691583,0.035010138,0.696082746,0.110269767,0.108729022,0.084918466,0.627783087,0.11290484,0.105666248,0.153645825,0.598293891,0.10875283,0.119588071,0.173365208,0.805707697,0.107641224,0.061176772,0.025474307,0.75996412,0.12870896,0.080494082,0.030832838,0.72125873,0.1097318,0.102776995,0.066232474,0.673812232,0.114500258,0.10177824,0.10990927,0.628340996,0.112078738,0.118969518,0.140610748,0.805707697,0.107641224,0.061176772,0.025474307,0.756978756,0.133586149,0.081034992,0.028400103,0.712967733,0.121500255,0.108367411,0.0571646,0.654248188,0.141446019,0.11597784,0.088327954,0.617374647,0.131029262,0.140013321,0.11158277,0.805707697,0.107641224,0.061176772,0.025474307,0.753872787,0.131975195,0.082536459,0.031615559,0.700801202,0.117750327,0.110342528,0.071105943,0.615054709,0.13410057,0.120925875,0.129918845,0.558596575,0.123001181,0.140885672,0.177516572,0.805707697,0.107641224,0.061176772,0.025474307,0.762540136,0.124232707,0.079849987,0.03337717,0.728950992,0.099609841,0.096494931,0.074944236,0.697976251,0.094721037,0.086627096,0.120675617,0.678971405,0.096195769,0.097536713,0.127296112
E06000002,Middlesbrough,0.836161158,0.089807065,0.053567882,0.020463896,0.790208602,0.107987987,0.072277315,0.029526096,0.752254482,0.090260872,0.091207605,0.06627704,0.695569251,0.094952451,0.091182096,0.118296202,0.669236042,0.092255191,0.10420505,0.134303717,0.836161158,0.089807065,0.053567882,0.020463896,0.79798723,0.106644095,0.069318236,0.026050438,0.773948504,0.088930108,0.085288907,0.051832481,0.734487837,0.094600943,0.086205192,0.084706028,0.694838386,0.093901299,0.102331801,0.108928514,0.836161158,0.089807065,0.053567882,0.020463896,0.794523091,0.111180845,0.070087758,0.024208306,0.763016761,0.099889051,0.091147218,0.045946969,0.710554117,0.118827655,0.099785294,0.070832934,0.676869279,0.111087627,0.121814976,0.090228118,0.836161158,0.089807065,0.053567882,0.020463896,0.791873489,0.109871604,0.071415839,0.026839069,0.752870901,0.097192337,0.093260988,0.056675774,0.677081295,0.114151062,0.105573116,0.103194526,0.626084032,0.10652682,0.125368851,0.142020297,0.836161158,0.089807065,0.053567882,0.020463896,0.800979744,0.102544165,0.068510251,0.02796584,0.783708698,0.079814973,0.079220092,0.057256237,0.761247885,0.076882536,0.072092223,0.089777356,0.744974663,0.078417671,0.081590794,0.095016873
E06000003,Redcar and Cleveland,0.773722202,0.122814437,0.076062705,0.027400656,0.716357783,0.138569138,0.098224213,0.046848866,0.659085582,0.116847449,0.124171631,0.099895339,0.585143082,0.117852319,0.118828246,0.178176353,0.553871023,0.112797244,0.133607053,0.199724681,0.773722202,0.122814437,0.076062705,0.027400656,0.726346466,0.137554413,0.094644664,0.041454457,0.68678603,0.11691596,0.117980243,0.078317768,0.634788981,0.12079578,0.115649404,0.128765835,0.585931169,0.117093385,0.133855625,0.163119821,0.773722202,0.122814437,0.076062705,0.027400656,0.723708534,0.142786208,0.095232256,0.038273002,0.678513263,0.129499313,0.124390571,0.067596853,0.615836651,0.149158232,0.131638392,0.103366724,0.575899949,0.137009287,0.157641602,0.129449162,0.773722202,0.122814437,0.076062705,0.027400656,0.719679238,0.140905733,0.09695022,0.042464809,0.664717021,0.125115899,0.126317313,0.083849767,0.573273848,0.140060329,0.136004513,0.15066131,0.513641266,0.126774905,0.156427957,0.203155872,0.773722202,0.122814437,0.076062705,0.027400656,0.72856181,0.132747063,0.093925831,0.044765296,0.694476542,0.106110083,0.11078145,0.088631924,0.659444989,0.100130831,0.098674543,0.141749637,0.639024508,0.101348272,0.110657408,0.148969812
E06000004,Stockton-on-Tees,0.815437704,0.102468735,0.05898717,0.023106391,0.763205725,0.120983777,0.080852436,0.034958062,0.708391685,0.106979996,0.103081531,0.081546788,0.642247796,0.110059431,0.100748804,0.146943969,0.613463415,0.106185795,0.114291986,0.166058803,0.815437704,0.102468735,0.05898717,0.023106391,0.771702494,0.11974833,0.077703796,0.03084538,0.732805991,0.106273474,0.097242276,0.063678259,0.686906283,0.111229794,0.09667269,0.105191233,0.642707589,0.109162596,0.113400486,0.134729329,0.815437704,0.102468735,0.05898717,0.023106391,0.768838393,0.12439235,0.07826843,0.028500827,0.72430983,0.117839143,0.10265172,0.055199307,0.666909549,0.137629485,0.110321733,0.085139233,0.630877475,0.127750143,0.133574585,0.107797798,0.815437704,0.102468735,0.05898717,0.023106391,0.765708827,0.122892177,0.079743529,0.031655466,0.712555861,0.114293175,0.104634123,0.068516841,0.6288468,0.130831661,0.115399208,0.124922331,0.573500767,0.120450598,0.13505629,0.170992345,0.815437704,0.102468735,0.05898717,0.023106391,0.774170374,0.115496774,0.077045961,0.033286891,0.740690148,0.096354242,0.091203676,0.071751934,0.711255614,0.091842924,0.082113149,0.114788313,0.692914278,0.093315749,0.092576027,0.121193946
E06000047,County Durham,0.791636955,0.116767969,0.067684222,0.023910854,0.743359274,0.129074572,0.090432689,0.037133465,0.695745064,0.112121674,0.110578312,0.081554949,0.630740317,0.115462156,0.108037727,0.1457598,0.601898873,0.111346975,0.122368236,0.164385916,0.791636955,0.116767969,0.067684222,0.023910854,0.75220633,0.127904433,0.08700514,0.032884097,0.720329423,0.111402314,0.104404021,0.063864242,0.674838638,0.116681874,0.103737981,0.104741508,0.630467648,0.114437713,0.121430978,0.13366366,0.791636955,0.116767969,0.067684222,0.023910854,0.749716122,0.132510902,0.087397162,0.030375814,0.710791941,0.123481989,0.110246376,0.055479693,0.652809097,0.144051117,0.118197389,0.084942396,0.616500176,0.133541666,0.142677161,0.107280998,0.791636955,0.116767969,0.067684222,0.023910854,0.746296504,0.130954938,0.089079886,0.033668672,0.699134958,0.119809828,0.112339027,0.068716187,0.615360735,0.136999453,0.123547876,0.124091936,0.56059492,0.12599428,0.144210208,0.169200592,0.791636955,0.116767969,0.067684222,0.023910854,0.754381921,0.123655653,0.086479161,0.035483266,0.729048596,0.101112142,0.097979365,0.071859897,0.70098518,0.096531203,0.088287723,0.114195893,0.682171003,0.098066687,0.099419462,0.120342849
E06000057,Northumberland,0.752560214,0.139039307,0.078316803,0.030083676,0.682076592,0.156207387,0.112989157,0.048726865,0.6196958,0.132354857,0.13663926,0.111310083,0.544038474,0.131689647,0.129034609,0.19523727,0.512467614,0.125406018,0.144387652,0.217738716,0.752560214,0.139039307,0.078316803,0.030083676,0.692350689,0.155324783,0.109075752,0.043248776,0.648318363,0.133218413,0.130586412,0.087876812,0.594613591,0.136165449,0.126673377,0.142547582,0.544670633,0.130897602,0.145444244,0.178987521,0.752560214,0.139039307,0.078316803,0.030083676,0.689981943,0.160728298,0.109431661,0.039858098,0.641661134,0.146405508,0.136598674,0.075334684,0.577839057,0.166241303,0.142558029,0.11336161,0.537348529,0.151783983,0.169741612,0.141125876,0.752560214,0.139039307,0.078316803,0.030083676,0.685778123,0.158643118,0.111405639,0.04417312,0.627254755,0.141154584,0.138434881,0.09315578,0.534560984,0.155134977,0.146397871,0.163906168,0.474935285,0.139189448,0.166948188,0.218927079,0.752560214,0.139039307,0.078316803,0.030083676,0.69438072,0.150317734,0.10853196,0.046769587,0.654852184,0.121708157,0.123437223,0.100002437,0.617835917,0.114227371,0.109370633,0.158566079,0.596507656,0.115192754,0.122241701,0.166057889
E08000037,Gateshead,0.803499047,0.103991487,0.06618495,0.026324516,0.761656646,0.117239913,0.082097525,0.039005916,0.71827716,0.101516194,0.100213747,0.079992899,0.652039938,0.104750396,0.098214542,0.144995125,0.623090044,0.101218391,0.111578466,0.164113099,0.803499047,0.103991487,0.06618495,0.026324516,0.770486166,0.116149292,0.07893821,0.034426332,0.742489505,0.10075037,0.094413893,0.062346231,0.696627115,0.105739685,0.094101529,0.103531671,0.652453023,0.103990222,0.110612943,0.132943812,0.803499047,0.103991487,0.06618495,0.026324516,0.768470224,0.120451337,0.079341874,0.031736565,0.734885468,0.111623429,0.099542032,0.05394907,0.677810638,0.130996087,0.10744536,0.083747915,0.641474769,0.121847361,0.130428335,0.106249535,0.803499047,0.103991487,0.06618495,0.026324516,0.765058194,0.118896186,0.080804807,0.035240813,0.723102857,0.108302521,0.101542722,0.0670519,0.639539332,0.124663897,0.112573031,0.123223739,0.583697928,0.115032192,0.132111824,0.169158055,0.803499047,0.103991487,0.06618495,0.026324516,0.772178764,0.112181857,0.078412074,0.037227305,0.749486579,0.091444089,0.088674538,0.070394795,0.719767857,0.087255347,0.07991168,0.113065117,0.701486021,0.088789905,0.090183852,0.119540222
E08000021,Newcastle upon Tyne,0.855227528,0.077901063,0.045888647,0.020982762,0.821034039,0.088108743,0.061151332,0.029705885,0.783179847,0.07576589,0.073500438,0.067553824,0.721357005,0.079291774,0.073162223,0.126188998,0.695408005,0.07702909,0.083659771,0.143903134,0.855227528,0.077901063,0.045888647,0.020982762,0.828325915,0.086989011,0.058609666,0.026075408,0.805054355,0.074486868,0.068552748,0.051906028,0.763204839,0.079112192,0.069235507,0.088447462,0.723817014,0.078592092,0.082332141,0.115258753,0.855227528,0.077901063,0.045888647,0.020982762,0.826646204,0.090329523,0.059001312,0.024022962,0.796482922,0.084202613,0.073700254,0.045614212,0.745029416,0.100764482,0.081231154,0.072974948,0.712741746,0.094393346,0.099478544,0.093386365,0.855227528,0.077901063,0.045888647,0.020982762,0.823729382,0.089318107,0.060178708,0.026773802,0.785471498,0.081943171,0.075454831,0.0571305,0.708370623,0.096632499,0.085859613,0.109137264,0.655906951,0.090084388,0.101954961,0.1520537,0.855227528,0.077901063,0.045888647,0.020982762,0.829721673,0.083919457,0.058138007,0.028220864,0.811940471,0.066601395,0.063454621,0.058003513,0.784409953,0.063628142,0.057298891,0.094663013,0.76959111,0.064921188,0.064915206,0.100572497
E08000022,North Tyneside,0.79749703,0.112777941,0.063435187,0.026289842,0.74916259,0.126388274,0.087852129,0.036597007,0.699100332,0.112645704,0.106382393,0.081871571,0.634182251,0.115932033,0.103994533,0.145891184,0.605453564,0.111863227,0.117968914,0.164714294,0.79749703,0.112777941,0.063435187,0.026289842,0.757945131,0.125213162,0.084525102,0.032316606,0.723271349,0.112026338,0.100472732,0.06422958,0.678011077,0.117182899,0.099808911,0.104997113,0.633957816,0.114966941,0.117019269,0.134055975,0.79749703,0.112777941,0.063435187,0.026289842,0.755273295,0.129880684,0.085033114,0.029812907,0.715383812,0.123550719,0.105496472,0.055568997,0.658077571,0.14394773,0.113079505,0.084895194,0.622064716,0.133616464,0.136891797,0.107427023,0.79749703,0.112777941,0.063435187,0.026289842,0.752049876,0.128262749,0.086583403,0.033103972,0.70387384,0.119843267,0.107538356,0.068744536,0.620862548,0.13692912,0.118351315,0.123857017,0.566134062,0.126148547,0.138583251,0.16913414,0.79749703,0.112777941,0.063435187,0.026289842,0.760252244,0.120922028,0.083901363,0.034924365,0.730871577,0.102027443,0.094655333,0.072445647,0.702377567,0.09742354,0.085363501,0.114835393,0.683684445,0.098973149,0.096210535,0.121131871
E08000023,South Tyneside,0.797365144,0.112090663,0.064248622,0.02629557,0.749007556,0.131054377,0.087181998,0.032756068,0.709492002,0.107598589,0.10940837,0.07350104,0.650960823,0.112107664,0.108213567,0.128717945,0.623133423,0.108481055,0.123053462,0.14533206,0.797365144,0.112090663,0.064248622,0.02629557,0.75747671,0.129746644,0.083825054,0.028951592,0.732341763,0.106665399,0.103004073,0.057988765,0.69121869,0.112480515,0.103100475,0.09320032,0.649050796,0.110877445,0.12139296,0.118678799,0.797365144,0.112090663,0.064248622,0.02629557,0.754240062,0.134635406,0.084364104,0.026760428,0.722936262,0.117925024,0.108417556,0.050721159,0.668123155,0.138319737,0.116917503,0.076639605,0.632643027,0.128617417,0.141740098,0.096999459,0.797365144,0.112090663,0.064248622,0.02629557,0.751352413,0.133023093,0.085941539,0.029682954,0.712407332,0.114575598,0.110698349,0.062318722,0.633914693,0.132348758,0.12307271,0.110663839,0.581564432,0.122662041,0.144940113,0.150833415,0.797365144,0.112090663,0.064248622,0.02629557,0.76032119,0.125267095,0.083182344,0.031229372,0.741376736,0.096993987,0.096891248,0.064738029,0.718120921,0.09332695,0.088022174,0.100529954,0.699788395,0.094951819,0.099290906,0.105968879
E08000024,Sunderland,0.802513459,0.110973875,0.063704291,0.022808376,0.752312333,0.127912044,0.087204841,0.032570782,0.710914527,0.106901276,0.107010938,0.075173259,0.650859105,0.111259793,0.10566443,0.132216673,0.622905664,0.107671925,0.120117096,0.149305315,0.802513459,0.110973875,0.063704291,0.022808376,0.760695596,0.126622259,0.083829957,0.028852187,0.734122819,0.105953446,0.100727684,0.059196051,0.691971605,0.111716142,0.100756205,0.095556049,0.649474021,0.110136823,0.118588758,0.121800399,0.802513459,0.110973875,0.063704291,0.022808376,0.7576106,0.131343105,0.084328173,0.026718122,0.724622835,0.117363802,0.106221964,0.051791399,0.668958468,0.13784154,0.114620603,0.078579389,0.633376338,0.128207654,0.138953937,0.09946207,0.802513459,0.110973875,0.063704291,0.022808376,0.754746402,0.129770167,0.085913705,0.029569725,0.713831451,0.114006484,0.108437089,0.063724976,0.633972617,0.131774438,0.120538725,0.11371422,0.581059162,0.122045215,0.141825858,0.155069765,0.802513459,0.110973875,0.063704291,0.022808376,0.763423858,0.122292498,0.083223491,0.031060153,0.743073217,0.096205997,0.094616091,0.066104695,0.71873349,0.092423767,0.085793264,0.103049478,0.700487213,0.094088358,0.096768411,0.108656019
E06000008,Blackburn with Darwen,0.854545212,0.083883337,0.045545639,0.016025812,0.821834637,0.0936572,0.061372437,0.023135726,0.781524629,0.093268859,0.0759978,0.049208712,0.733708476,0.099462609,0.077093688,0.089735227,0.711187852,0.097315301,0.088763681,0.102733166,0.854545212,0.083883337,0.045545639,0.016025812,0.828440299,0.09235134,0.058743557,0.020464804,0.799449358,0.091495203,0.070821394,0.038234045,0.766301489,0.098097509,0.072204839,0.063396163,0.732608094,0.09830767,0.086563359,0.082520877,0.854545212,0.083883337,0.045545639,0.016025812,0.825157415,0.096337288,0.059402327,0.01910297,0.788647459,0.102281436,0.075408496,0.03366261,0.741787814,0.122476755,0.083228459,0.052506973,0.71412597,0.115683151,0.102543965,0.067646914,0.854545212,0.083883337,0.045545639,0.016025812,0.823043711,0.09525636,0.060591198,0.021108731,0.781073452,0.0998503,0.077329739,0.041746509,0.714658369,0.118878071,0.088858676,0.077604884,0.671398268,0.112721602,0.107098799,0.108781331,0.854545212,0.083883337,0.045545639,0.016025812,0.831315368,0.088758696,0.058056546,0.021869389,0.809250665,0.082369882,0.065927901,0.042451552,0.792005391,0.079955648,0.060488183,0.067550778,0.777710451,0.081757679,0.068750025,0.071781845
E06000009,Blackpool,0.795655666,0.109397186,0.068657401,0.026289747,0.753295137,0.125824245,0.084180992,0.036699626,0.705105535,0.112509398,0.105862133,0.076522935,0.641511594,0.116280367,0.103888741,0.138319297,0.613256858,0.112338084,0.117946979,0.156458079,0.795655666,0.109397186,0.068657401,0.026289747,0.762058569,0.124592326,0.080909786,0.032439319,0.728885866,0.111614259,0.099802675,0.059697201,0.684497819,0.11720197,0.099491137,0.098809074,0.641217296,0.115240161,0.116830252,0.126712291,0.795655666,0.109397186,0.068657401,0.026289747,0.758944276,0.129505076,0.081519713,0.030030935,0.718585309,0.123958222,0.105606987,0.051849482,0.661543199,0.144917651,0.113578457,0.079960693,0.626400476,0.134719312,0.137521239,0.101358973,0.795655666,0.109397186,0.068657401,0.026289747,0.755687385,0.127928437,0.083075965,0.033308214,0.707571444,0.120353956,0.107672093,0.064402507,0.625341983,0.138126765,0.118981132,0.117550121,0.571757445,0.127525578,0.139447665,0.161269312,0.795655666,0.109397186,0.068657401,0.026289747,0.764734079,0.120110804,0.080211946,0.034943171,0.738358636,0.101062149,0.093425469,0.067153746,0.711196631,0.096694441,0.084405258,0.107703669,0.69277825,0.098298757,0.095204798,0.113718195
E06000006,Halton,0.815995673,0.110037864,0.055026659,0.018939804,0.768258504,0.119911827,0.08305784,0.02877183,0.72175625,0.11108621,0.098622759,0.068534781,0.663750593,0.11591279,0.097767102,0.122569515,0.637153879,0.112397999,0.111475664,0.138972458,0.815995673,0.110037864,0.055026659,0.018939804,0.776210432,0.118587161,0.079758111,0.025444296,0.743713579,0.109939421,0.092674017,0.053672983,0.703229802,0.116056148,0.092926402,0.087787648,0.662770298,0.114731442,0.109813286,0.112684974,0.815995673,0.110037864,0.055026659,0.018939804,0.772980855,0.123138723,0.080309052,0.02357137,0.733988578,0.121659773,0.097616894,0.046734755,0.680040055,0.142901581,0.105504299,0.071554065,0.647008028,0.133419891,0.128523033,0.091049049,0.815995673,0.110037864,0.055026659,0.018939804,0.770271477,0.121734278,0.081874471,0.026119774,0.72409087,0.118323007,0.09979219,0.057793933,0.646931489,0.137047778,0.111364132,0.104656601,0.596540898,0.127585021,0.131824935,0.144049146,0.815995673,0.110037864,0.055026659,0.018939804,0.77906822,0.11442894,0.079116924,0.027385915,0.752871551,0.099856088,0.087085382,0.060186979,0.729584961,0.096076883,0.079144961,0.095193195,0.712174387,0.097819758,0.089407512,0.100598344
E06000007,Warrington,0.811226871,0.102578876,0.064295714,0.02189854,0.757925008,0.119096956,0.083368508,0.039609528,0.697663495,0.111053714,0.107531389,0.083751402,0.629581017,0.113771568,0.104606271,0.152041143,0.600189329,0.109630146,0.118473983,0.171706542,0.811226871,0.102578876,0.064295714,0.02189854,0.766845943,0.118005263,0.080153824,0.034994969,0.722602638,0.110505211,0.101626354,0.065265797,0.675350721,0.115341225,0.100708208,0.108599847,0.630111395,0.112948883,0.117817142,0.13912258,0.811226871,0.102578876,0.064295714,0.02189854,0.764512335,0.122520962,0.08064059,0.032326113,0.7145653,0.122206243,0.107010838,0.056217619,0.656023535,0.142308672,0.114610011,0.087057782,0.619393912,0.131945228,0.138541413,0.110119447,0.811226871,0.102578876,0.064295714,0.02189854,0.760996902,0.120965584,0.082164331,0.035873183,0.702556963,0.118455368,0.108992916,0.069994753,0.617124831,0.13498573,0.11958789,0.12830155,0.560876372,0.123947707,0.139528221,0.1756477,0.811226871,0.102578876,0.064295714,0.02189854,0.768812303,0.113860682,0.079556498,0.037770516,0.730131132,0.100397303,0.095502473,0.073969091,0.699225029,0.095516362,0.085798251,0.119460359,0.680270567,0.097002814,0.096642213,0.126084406
E06000050,Cheshire West and Chester,0.783741558,0.117115699,0.071145623,0.02799712,0.734053144,0.127335528,0.092852865,0.045758463,0.672379625,0.115975445,0.113478373,0.098166557,0.596613739,0.116806147,0.108478426,0.178101688,0.565796361,0.111908879,0.122114026,0.200180734,0.783741558,0.117115699,0.071145623,0.02799712,0.743856229,0.126324907,0.08939827,0.040420594,0.699932205,0.11591066,0.107729443,0.076427692,0.647102905,0.119691712,0.105574087,0.127631297,0.598725469,0.116203044,0.122398768,0.162672719,0.783741558,0.117115699,0.071145623,0.02799712,0.741484414,0.131215798,0.089996051,0.037303736,0.691700939,0.128678713,0.113884248,0.0657361,0.629064453,0.14837904,0.120720984,0.101835523,0.590442952,0.136655568,0.144900577,0.128000903,0.783741558,0.117115699,0.071145623,0.02799712,0.737356791,0.129530264,0.091666355,0.041446589,0.677926401,0.124373773,0.11565307,0.082046756,0.585905541,0.139372954,0.124712064,0.150009442,0.526381483,0.12637171,0.143636299,0.203610507,0.783741558,0.117115699,0.071145623,0.02799712,0.745810351,0.121837914,0.088681406,0.043670329,0.707340205,0.104962377,0.100900398,0.08679702,0.670607848,0.098802171,0.089666252,0.140923728,0.650880036,0.100060563,0.100674243,0.148385157
E06000049,Cheshire East,0.770195131,0.122063662,0.076232845,0.031508361,0.713851692,0.133302503,0.101170467,0.051675338,0.645186168,0.12319674,0.123055207,0.108561884,0.56589866,0.122516869,0.116162536,0.195421934,0.534193114,0.11685563,0.130194354,0.218756903,0.770195131,0.122063662,0.076232845,0.031508361,0.724302466,0.132438611,0.097524137,0.045734786,0.674108186,0.123726176,0.117365638,0.084800001,0.61851723,0.126592985,0.113975792,0.140913993,0.568245242,0.122020703,0.131214187,0.178519868,0.770195131,0.122063662,0.076232845,0.031508361,0.722141652,0.137524685,0.098119953,0.042213711,0.667061673,0.136827004,0.123566911,0.072544412,0.602513849,0.156198407,0.129678025,0.11160972,0.562490141,0.143079346,0.154868434,0.13956208,0.770195131,0.122063662,0.076232845,0.031508361,0.717560682,0.135677155,0.099908603,0.04685356,0.652378311,0.13193593,0.125216093,0.090469666,0.557457098,0.145718574,0.133094427,0.163729902,0.496413287,0.130982508,0.152018374,0.220585831,0.770195131,0.122063662,0.076232845,0.031508361,0.726045362,0.127764559,0.096788829,0.04940125,0.68067257,0.112353166,0.11025125,0.096723014,0.640807648,0.105082649,0.097354731,0.156754971,0.620164843,0.106143083,0.109017284,0.16467479
E07000026,Allerdale,0.752928059,0.133672937,0.081167337,0.032231667,0.697501724,0.142848916,0.106366384,0.053282976,0.633966517,0.125245831,0.124809116,0.115978536,0.550828556,0.123521002,0.116736306,0.208914136,0.518506318,0.117581711,0.130486226,0.233425745,0.752928059,0.133672937,0.081167337,0.032231667,0.708163204,0.142052757,0.102646187,0.047137852,0.66406205,0.12606945,0.119351437,0.090517063,0.605546467,0.128352306,0.115235431,0.150865797,0.55386658,0.123290811,0.132085544,0.190757065,0.752928059,0.133672937,0.081167337,0.032231667,0.706183762,0.147287974,0.1031401,0.043388165,0.65755996,0.139471256,0.125749028,0.077219756,0.591013163,0.158619764,0.131357899,0.119009174,0.550126703,0.145000321,0.156392781,0.148480195,0.752928059,0.133672937,0.081167337,0.032231667,0.701515672,0.145288428,0.104983919,0.048211981,0.642021946,0.134300512,0.127206115,0.096471427,0.543950715,0.147277077,0.134092106,0.174680102,0.481532661,0.131687921,0.152214106,0.234565313,0.752928059,0.133672937,0.081167337,0.032231667,0.709747619,0.137216567,0.101985234,0.05105058,0.669943132,0.114450964,0.11206073,0.103545174,0.626758742,0.106463383,0.098366396,0.168411479,0.605671569,0.10750395,0.11003092,0.176793561
E07000027,Barrow-in-Furness,0.782293547,0.119226238,0.074274038,0.024206178,0.736601507,0.130779555,0.092248573,0.040370365,0.694970805,0.115453077,0.112541701,0.077034417,0.632277019,0.119535742,0.110447972,0.137739267,0.603683555,0.115523105,0.12527327,0.15552007,0.782293547,0.119226238,0.074274038,0.024206178,0.745836493,0.129655633,0.088753969,0.035753906,0.718814419,0.114618017,0.106209763,0.060357801,0.674787252,0.12047743,0.105816832,0.098918486,0.631101852,0.118475665,0.124075643,0.12634684,0.782293547,0.119226238,0.074274038,0.024206178,0.743018529,0.134603069,0.08929556,0.033082842,0.708659477,0.126871773,0.112039086,0.052429663,0.651164042,0.148356001,0.120293742,0.080186215,0.615294395,0.137864779,0.145403583,0.101437243,0.782293547,0.119226238,0.074274038,0.024206178,0.73950878,0.132883556,0.090963304,0.036644359,0.697731923,0.123177232,0.114196239,0.064894605,0.615411962,0.141460031,0.125980088,0.117147919,0.561779416,0.130613596,0.147494158,0.160112831,0.782293547,0.119226238,0.074274038,0.024206178,0.748252325,0.125124313,0.088097832,0.03852553,0.728369857,0.104077454,0.099694478,0.067858211,0.702222167,0.099785872,0.090169678,0.107822284,0.683192846,0.101527467,0.101611683,0.113668004
